FirstName,Phone,Notes
Vivek,9871112220,Followed up – interested in basic plan
Asha,9122223331,Asked for product brochure – sent by email
Ramesh,9988334455,Meeting scheduled for Thursday 2 PM
Geeta,9875556660,Requested callback after one week
Karthik,9761112233,Strong lead – asked about bulk pricing
Neha,9345670012,Not interested currently – check in 6 months
Suresh,9456123789,Demo arranged for next Wednesday
Anita,9345612700,Hot lead – prefers phone updates
Farhan,9012003456,Discussed features – wants comparison sheet
Jyothi,9234567822,Positive response – added to priority list
Sanjay,9123000090,Asked for client references – provided
Rekha,9876000065,Follow-up pending – sent reminder email
Ajay,9654321001,Cold lead – revisit next quarter
Bhavna,9786503210,Interested in yearly contract
Imran,9345098762,Proposal sent – awaiting approval
Swathi,9567800123,Asked technical doubts – shared documentation
Lokesh,9456789000,Strong interest – needs budget approval
Madhuri,9234700012,Trial created – monitoring engagement
Prakash,9654789111,Referred by partner company – good prospect
Tanya,9876543219,Interested in on-site demo
